model_id,log_name,combo_label,task,bold,beta,smooth,gamma,folds,score_mean,score_std,test_corr_mean,train_corr_mean,corr_gap_mean,loss_gap_rel_mean,train_loss_mean,test_loss_mean,active_param_count,term_test_corr_mean,term_corr_stability_mean,term_loss_stability_mean,comp_test_corr_mean,comp_corr_stability_mean,comp_loss_stability_mean,rank
"slurm-8169162.out | task=0.8, bold=0.8, beta=0.5, smooth=0.2, gamma=1",slurm-8169162.out,"task=0.8, bold=0.8, beta=0.5, smooth=0.2, gamma=1",0.8,0.8,0.5,0.2,1.0,30,0.016424806308679343,0.02614610676419175,0.14760333333333334,0.04637,0.11477333333333334,0.12569243367275393,1.3596131999999999,1.4488686333333334,4,-0.28180321488477184,0.27394519034633313,0.046374562173276485,-0.0870771933993945,0.0860187897687486,0.017483209939325232,1
"slurm-8078053.out | task=0.8, bold=0, beta=0, smooth=0, gamma=1",slurm-8078053.out,"task=0.8, bold=0, beta=0, smooth=0, gamma=1",0.8,0.0,0.0,0.0,1.0,30,0.01899958769453159,0.06040999649461207,0.19183333333333333,0.12729,0.11279,0.28438291808635174,0.5463829333333333,0.5776044333333333,1,-0.3589749153569817,0.2656110958886234,0.1233977518058652,-0.11092324884530734,0.08340188410902775,0.04652095243081118,2
"slurm-8078053.out | task=0, bold=0.8, beta=0, smooth=0, gamma=1",slurm-8078053.out,"task=0, bold=0.8, beta=0, smooth=0, gamma=1",0.0,0.8,0.0,0.0,1.0,30,0.023593816486690466,0.03380396652812661,0.16708666666666666,0.051379999999999995,0.12486,0.18938854373291583,0.12056473333333333,0.13268196666666665,1,-0.320537168876168,0.2971529599039676,0.07780841448164603,-0.09904598518273591,0.09330602940984582,0.029333772259580556,3
"slurm-8078053.out | task=0, bold=0, beta=0.5, smooth=0, gamma=1",slurm-8078053.out,"task=0, bold=0, beta=0.5, smooth=0, gamma=1",0.0,0.0,0.5,0.0,1.0,30,0.030950580759732747,0.03721969071180396,0.17001,0.05335,0.13137333333333331,0.23200023267287076,0.0813228,0.08781803333333334,1,-0.3067390652930904,0.2834566354823134,0.09742060581923412,-0.09478237117556494,0.08900538354144642,0.036727568393851266,4
"slurm-8169162.out | task=0.8, bold=0.8, beta=0, smooth=0.2, gamma=1",slurm-8169162.out,"task=0.8, bold=0.8, beta=0, smooth=0.2, gamma=1",0.8,0.8,0.0,0.2,1.0,30,0.12728730162634538,0.14515969538441967,0.16315666666666667,0.16593666666666668,0.11928666666666667,0.8807474910705254,0.4768711666666666,0.8400210666666666,3,-0.3177545404133817,0.2989366005140848,0.34909114602826974,-0.09818615298773495,0.09386609256142263,0.1316073620526577,5
"slurm-8169162.out | task=0, bold=0.8, beta=0.5, smooth=0.2, gamma=1",slurm-8169162.out,"task=0, bold=0.8, beta=0.5, smooth=0.2, gamma=1",0.0,0.8,0.5,0.2,1.0,30,0.12824574523900772,0.11728638672035088,0.16481333333333334,0.029306666666666665,0.14154666666666668,0.8495673393048244,1.2177186333333334,1.8174105,3,-0.31397961679014386,0.3350599983472725,0.318452539379625,-0.09701970158815446,0.10520883948104356,0.12005660734611862,6
"slurm-8078053.out | task=0, bold=0.8, beta=0.5, smooth=0.6, gamma=1",slurm-8078053.out,"task=0, bold=0.8, beta=0.5, smooth=0.6, gamma=1",0.0,0.8,0.5,0.6,1.0,30,0.1287201012675758,0.11847323886007416,0.17056666666666667,0.030256666666666664,0.14694333333333331,0.7799978247905275,1.3201329000000002,1.8893422333333334,3,-0.3312629806052966,0.35466786706854003,0.31754549606124904,-0.10236026100703664,0.11136571025952158,0.11971465201509089,7
"slurm-8078053.out | task=0.8, bold=0.8, beta=0, smooth=0.6, gamma=1",slurm-8078053.out,"task=0.8, bold=0.8, beta=0, smooth=0.6, gamma=1",0.8,0.8,0.0,0.6,1.0,30,0.13276844929140535,0.1465654386744481,0.17987333333333336,0.11363666666666666,0.11073000000000001,0.9932270876876396,0.8685535333333333,1.5584329,3,-0.34420655996307736,0.266620564275866,0.41222657596120515,-0.1063598270285909,0.08371885718262194,0.15540941913737433,8
"slurm-8078053.out | task=0.8, bold=0.8, beta=0.5, smooth=0, gamma=1",slurm-8078053.out,"task=0.8, bold=0.8, beta=0.5, smooth=0, gamma=1",0.8,0.8,0.5,0.0,1.0,30,0.13286205076141405,0.08740278576810115,0.14241666666666666,0.014029999999999999,0.13013333333333332,0.6667466940176133,2.2262043333333335,3.0757778,3,-0.2748874583673455,0.3221187093070286,0.3094350150517688,-0.08494022463550976,0.10114527472240696,0.11665700067451686,9
"slurm-8169162.out | task=0.8, bold=0, beta=0.5, smooth=0.2, gamma=1",slurm-8169162.out,"task=0.8, bold=0, beta=0.5, smooth=0.2, gamma=1",0.8,0.0,0.5,0.2,1.0,30,0.1381522123590077,0.12429872842266221,0.15070333333333333,0.04363333333333333,0.11959,0.9219479952496864,2.8948635666666664,4.722111,3,-0.2921845992760137,0.3000835062172985,0.35599743390733213,-0.09028504117628824,0.09422622095223174,0.13421103258306422,10
"slurm-8078053.out | task=0.8, bold=0, beta=0.5, smooth=0.6, gamma=1",slurm-8078053.out,"task=0.8, bold=0, beta=0.5, smooth=0.6, gamma=1",0.8,0.0,0.5,0.6,1.0,30,0.15172114553561863,0.09970947162884002,0.1686166666666667,0.018023333333333332,0.15558666666666668,0.8355236950464043,3.037548166666667,4.473886066666666,3,-0.32920330512473434,0.37804221413255706,0.35739976546827223,-0.10172382128354292,0.11870525523762293,0.13473971158153866,11
